# sent_id = OviHalie-I-10-1
# text = accepit mundus legem dedit arma per omnes admonuitque sui uitulus sic namque minatur qui nondum gerit in tenera iam cornua fronte sic dammae fugiunt pugnant uirtute leones et morsu canis et caudae sic scorpius ictu concussisque leuis pinnis sic euolat ales
1	accepit	lilaLemma:87119	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000001	O
2	mundus	lilaLemma:113024	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000002	O
3	legem	lilaLemma:110351	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000003	O
4	dedit	lilaLemma:99970	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000004	O
5	arma	lilaLemma:89998	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000005	O
6	per	lilaLemma:116569	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000006	O
7	omnes	lilaLemma:114954	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000007	O
8-9	admonuitque	_	_	_
8	admonuit	lilaLemma:87560	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000008	O
9	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000009	O
10	sui	lilaLemma:131255	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000010	O
11	uitulus	lilaLemma:130451	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000011	O
12	sic	lilaLemma:124690	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000012	O
13	namque	lilaLemma:113344	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000013	O
14	minatur	lilaLemma:112399	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000014	O
15	qui	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000015	O
16	nondum	lilaLemma:114073	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000016	O
17	gerit	lilaLemma:104536	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000017	O
18	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000018	O
19	tenera	lilaLemma:127823	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000019	O
20	iam	lilaLemma:106025	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000020	O
21	cornua	lilaLemma:96624	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000021	O
22	fronte	lilaLemma:103845	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000022	O
23	sic	lilaLemma:124690	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/OvidiusHalieutica/Ovidius_Halieutica_OviHalie.BPN_t_0000023	O
