# sent_id = CicACaec-D-13-1
# text = si quantum in agro locisque desertis audacia potest tantum in foro atque in iudiciis impudentia ualeret non minus nunc in causa cederet A. Caecina Sex. Aebuti impudentiae quam tum in ui facienda cessit audaciae
1	si	lilaLemma:124676	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000001	O
2	quantum	lilaIpoLemma:110678	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000002	O
3	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000003	O
4	agro	lilaLemma:88060	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000004	O
5-6	locisque	_	_	_
5	locis	lilaLemma:110019	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000005	O
6	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000006	O
7	desertis	lilaIpoLemma:11845	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000007	O
8	audacia	lilaLemma:90633	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000008	O
9	potest	lilaLemma:118569	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000009	O
10	tantum	lilaIpoLemma:110679	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000010	O
11	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000011	O
12	foro	lilaLemma:103701	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000012	O
13	atque	lilaLemma:90490	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000013	O
14	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000014	O
15	iudiciis	lilaLemma:109170	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000015	O
16	impudentia	lilaLemma:106715	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000016	O
17	ualeret	lilaLemma:129509	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000017	O
18	non	lilaLemma:114108	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000018	O
19	minus	lilaLemma:116130	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000019	O
20	nunc	lilaLemma:113990	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000020	O
21	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000021	O
22	causa	lilaLemma:93253	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000022	O
23	cederet	lilaLemma:93298	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000023	O
24	A.	lilaLemma:90729	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000024	B-PERS
25	Caecina	lilaLemma:1861	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000025	I-PERS
26	Sex.	lilaLemma:21508	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000026	B-PERS
27	Aebuti	lilaLemma:4797	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000027	I-PERS
28	impudentiae	lilaLemma:106715	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000028	O
29	quam	lilaIpoLemma:110471	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000029	O
30	tum	lilaLemma:129198	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000030	O
31	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000031	O
32	ui	lilaLemma:130360	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000032	O
33	facienda	lilaLemma:102758	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000033	O
34	cessit	lilaLemma:93298	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000034	O
35	audaciae	lilaLemma:90633	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000035	O

# sent_id = CicACaec-D-13-2
# text = uerum et illud considerati hominis esse putauit qua de re iure disceptari oporteret armis non contendere et hoc constantis quicum ui et armis certare noluisset eum iure iudicioque superare
1	uerum	lilaIpoLemma:111485	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000036	O
2	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000037	O
3	illud	lilaLemma:106221	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000038	O
4	considerati	lilaIpoLemma:8971	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000039	O
5	hominis	lilaLemma:105624	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000040	O
6	esse	lilaLemma:126689	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000041	O
7	putauit	lilaLemma:120610	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000042	O
8	qua	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000043	O
9	de	lilaLemma:97932	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000044	O
10	re	lilaLemma:121868	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000045	O
11	iure	lilaLemma:109252	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000046	O
12	disceptari	lilaLemma:99594	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000047	O
13	oporteret	lilaLemma:115098	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000048	O
14	armis	lilaLemma:89998	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000049	O
15	non	lilaLemma:114108	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000050	O
16	contendere	lilaLemma:96251	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000051	O
17	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000052	O
18	hoc	lilaLemma:105455	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000053	O
19	constantis	lilaIpoLemma:9098	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000054	O
20-21	quicum	_	_	_
20	qui	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000055	O
21	cum	lilaLemma:97201	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000056	O
22	ui	lilaLemma:130360	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000057	O
23	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000058	O
24	armis	lilaLemma:89998	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000059	O
25	certare	lilaLemma:93580	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000060	O
26	noluisset	lilaLemma:113794	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000061	O
27	eum	lilaLemma:109083	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000062	O
28	iure	lilaLemma:109252	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20A%20Caecina/Cicero_ProACaecina_CicACaec.BPN_t_0000063	O
29-30	iudicioque	_	_	_
