# sent_id = CicSest-D-32-1
# text = si quis antea iudices mirabatur quid esset quod pro tantis opibus rei publicae tantaque dignitate imperi nequaquam satis multi ciues forti et magno animo inuenirentur qui auderent se et salutem suam in discrimen offerre pro statu ciuitatis et pro communi libertate ex hoc tempore miretur potius si quem bonum et fortem ciuem uiderit quam si quem aut timidum aut sibi potius quam rei publicae consulentem
1	si	lilaLemma:124676	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000001	O
2	quis	lilaLemma:121165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000002	O
3	antea	lilaLemma:89166	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000003	O
4	iudices	lilaLemma:109161	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000004	O
5	mirabatur	lilaLemma:112442	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000005	O
6	quid	lilaLemma:121165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000006	O
7	esset	lilaLemma:126689	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000007	O
8	quod	lilaLemma:74854	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000008	O
9	pro	lilaLemma:118468	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000009	O
10	tantis	lilaLemma:127630	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000010	O
11	opibus	lilaLemma:115146	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000011	O
12	rei	lilaLemma:121868	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000012	O
13	publicae	lilaLemma:120358	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000013	O
14-15	tantaque	_	_	_
14	tanta	lilaLemma:127630	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000014	O
15	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000015	O
16	dignitate	lilaLemma:99402	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000016	O
17	imperi	lilaLemma:106532	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000017	O
18	nequaquam	lilaLemma:114118	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000018	O
19	satis	lilaLemma:123480	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sestio/Cicero_ProSestio_CicSest.BPN_t_0000019	O
