# sent_id = CicProv-D-35-1
# text = si quis uestrum patres conscripti exspectat quas sim prouincias decreturus consideret ipse secum qui mihi homines ex prouinciis potissimum detrahendi sint non dubitabit quid sentire me conueniat cum quid mihi sentire necesse sit cogitarit
1	si	lilaLemma:124676	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000001	O
2	quis	lilaLemma:121165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000002	O
3	uestrum	lilaIpoLemma:110488	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000003	O
4	patres	lilaLemma:116203	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000004	O
5	conscripti	lilaLemma:95999	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000005	O
6	exspectat	lilaLemma:102335	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000006	O
7	quas	lilaLemma:121165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000007	O
8	sim	lilaLemma:126689	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000008	O
9	prouincias	lilaLemma:120189	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000009	O
10	decreturus	lilaLemma:98047	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000010	O
11	consideret	lilaLemma:96054	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000011	O
12	ipse	lilaLemma:108945	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000012	O
13-14	secum	_	_	_
13	se	lilaLemma:131255	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000013	O
14	cum	lilaLemma:97201	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000014	O
15	qui	lilaLemma:121165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000015	O
16	mihi	lilaLemma:100712	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000016	O
17	homines	lilaLemma:105624	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Provinciis%20Consularibus/Cicero_DeProvinciisConsularibus_CicProv.BPN_t_0000017	O
