# sent_id = CicClodi-D-70-1
# text = statueram p. c. quoad reus esset P. Clodius nihil de illo neque apud uos neque alio ullo in loco dicere
1	statueram	lilaLemma:125614	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000001	O
2	p.	lilaLemma:116203	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000002	B-PERS
3	c.	lilaLemma:95999	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000003	I-PERS
4	quoad	lilaLemma:121275	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000004	O
5	reus	lilaLemma:122011	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000005	O
6	esset	lilaLemma:126689	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000006	O
7	P.	lilaLemma:19592	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000007	B-PERS
8	Clodius	lilaLemma:3443	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000008	I-PERS
9	nihil	lilaLemma:114071	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000009	O
10	de	lilaLemma:97932	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000010	O
11	illo	lilaLemma:106221	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000011	O
12	neque	lilaLemma:114120	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000012	O
13	apud	lilaLemma:89686	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000013	O
14	uos	lilaIpoLemma:110488	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000014	O
15	neque	lilaLemma:114120	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000015	O
16	alio	lilaLemma:88481	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000016	O
17	ullo	lilaLemma:130494	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000017	O
18	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000018	O
19	loco	lilaLemma:110019	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000019	O
20	dicere	lilaLemma:99302	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000020	O

# sent_id = CicClodi-D-70-2
# text = ac furiosis contionibus indixerat
1	ac	lilaLemma:90490	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000021	O
2	furiosis	lilaLemma:104065	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000022	O
3	contionibus	lilaLemma:96301	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20P%20Clodium%20Et%20C%20Curionem%20Fragmenta/Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.BPN_t_0000023	O
