# sent_id = SalHistF-O-03-1
# text = clementia et probitas uostra Quirites quibus per ceteras gentis maxumi et clari estis plurumum timoris mihi faciunt aduorsus tyrannidem L. Sullae ne quae ipsi nefanda aestumatis ea parum credundo de aliis circumueniamini praesertim cum illi spes omnis in scelere atque perfidia sit neque se aliter tutum putet quam si peior atque intestabilior metu uostro fuerit quo captis libertatis curam miseria eximat aut si prouideritis in tutandis periculis magis quam ulciscundo teneamini
1	clementia	lilaLemma:94487	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000001	O
2	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000002	O
3	probitas	lilaLemma:119560	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000003	O
4	uostra	lilaLemma:130009	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000004	O
5	Quirites	lilaLemma:19826	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000005	O
6	quibus	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000006	O
7	per	lilaLemma:116569	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000007	O
8	ceteras	lilaLemma:93624	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000008	O
9	gentis	lilaLemma:104490	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000009	O
10	maxumi	lilaLemma:111319	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000010	O
11	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000011	O
12	clari	lilaLemma:94439	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000012	O
13	estis	lilaLemma:126689	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000013	O
14	plurumum	lilaLemma:112998	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000014	O
15	timoris	lilaLemma:128271	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusFragmenta%20Historiarum/Sallustius_FragmentaHistoriarum_SalHistF.BPN_t_0000015	O
