# sent_id = SenMedea-P-18-1
# text = di coniugales tuque genialis tori Lucina custos quaeque domituram freta Tiphyn nouam frenare docuisti ratem et tu profundi saeue dominator maris clarumque Titan diuidens orbi diem tacitisque praebens conscium sacris iubar Hecate triformis quosque iurauit mihi deos Iason quosque Medeae magis fas est precari noctis aeternae chaos auersa superis regna Manesque impios dominumque regni tristis et dominam fide meliore raptam uoce non fausta precor
1	di	lilaLemma:99132	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000001	O
2	coniugales	lilaLemma:95937	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000002	O
3-4	tuque	_	_	_
3	tu	lilaLemma:129131	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000003	O
4	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000004	O
5	genialis	lilaLemma:104465	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000005	O
6	tori	lilaLemma:128472	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000006	O
7	Lucina	lilaLemma:12378	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000007	O
8	custos	lilaLemma:97397	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000008	O
9-10	quaeque	_	_	_
9	quae	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000009	O
10	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000010	O
11	domituram	lilaLemma:100067	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000011	O
12	freta	lilaLemma:103788	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000012	O
13	Tiphyn	lilaLemma:23756	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000013	B-LOC
14	nouam	lilaLemma:113900	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000014	O
15	frenare	lilaLemma:103774	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000015	O
16	docuisti	lilaLemma:99971	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000016	O
17	ratem	lilaLemma:121471	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000017	O
18	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000018	O
19	tu	lilaLemma:129131	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000019	O
20	profundi	lilaLemma:119736	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000020	O
21	saeue	lilaLemma:123131	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000021	O
22	dominator	lilaLemma:100054	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000022	O
23	maris	lilaLemma:111604	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000023	O
24-25	clarumque	_	_	_
24	clarum	lilaLemma:94439	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000024	O
25	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000025	O
26	Titan	lilaLemma:23786	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaMedea/Seneca_Medea_SenMedea.BPN_t_0000026	O
