id,form,lemma,upos,EV_ann_1,EV_ann_2,MF_ann_1,MF_ann_2,AGREED_ann_1,AGREED_ann_2,comparison,Unnamed: 22,Unnamed: 23,lila:token.1,ent_label_BERT,ent_label_BERT_hypopt,ent_label_SpaCy,ent_label_CRF,DIFF_gold_models,err_ent_label_BERT,err_ent_label_BERT_hypopt,err_ent_label_SpaCy,err_ent_label_CRF
7,Theseide,theseis,PROPN,O,?,O,,O,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000011,O,B-PERS,B-LOC,B-PERS,DIFF,,ERROR,ERROR,ERROR
10,Martis,mars,PROPN,I-GEO,Nested B-PER,I-GEO,Nested B-PER,I-LOC,Nested B-PER,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000048,O,B-PERS,O,B-PERS,DIFF,ERROR,ERROR,ERROR,ERROR
12,Aeoliis,aeolius,ADJ,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000050,O,I-PERS,O,B-GRP,DIFF,ERROR,ERROR,ERROR,ERROR
23,Aeacus,aeacus,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000061,O,B-LOC,B-PERS,B-PERS,DIFF,ERROR,ERROR,,
12,Auruncae,aurunca,PROPN,B-GEO,,B-PER,Nested B-GEO,B-LOC,,DIFF,"Here I took as entity ‘Auruncae alumnus’, with embedded the reference to the Geographical origin. To be decided; Evelien: final decision: Nickname not annotated",,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000128,B-GRP,O,B-LOC,B-LOC,DIFF,ERROR,ERROR,,
6,Meuia,maeuia,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000143,O,B-PERS,B-PERS,B-PERS,DIFF,ERROR,,,
7,Tuscum,tuscus,ADJ,B-GRP,,B-GEO,,B-GRP,,DIFF,"For me the boars of Tuscany are not really a (human) group, this is why I only highlighted the origin; Evelien: I annotated these adjectives as GRP because this is done in the Herodotus project. It is only the “Tuscum” that refers to a group, namely the Tuscans",,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000144,O,B-GRP,B-LOC,I-PERS,DIFF,ERROR,,ERROR,ERROR
17,Mathonis,mathon,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000209,O,B-PERS,B-PERS,B-GRP,DIFF,ERROR,,,ERROR
5,Gillo,gillo,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000261,B-PERS,O,B-PERS,B-PERS,DIFF,,ERROR,,
1,Heracleas,heracleus,ADJ,B-PER,,O,,O,,DIFF,"This is the title of a work and the adjective is used (and not directly the name), so I would be in favour of dropping it; Evelien: Agreed",,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0000343,O,B-PERS,O,O,DIFF,,ERROR,,
