# sent_id = CicSul-D-25-1
# text = maxime uellem iudices ut P. Sulla et antea dignitatis suae splendorem obtinere et post calamitatem acceptam modestiae fructum aliquem percipere potuisset
1	maxime	lilaLemma:111271	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000001	O
2	uellem	lilaLemma:130745	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000002	O
3	iudices	lilaLemma:109161	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000003	O
4	ut	lilaLemma:130906	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000004	O
5	P.	lilaLemma:19592	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000005	B-PERS
6	Sulla	lilaLemma:22630	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000006	I-PERS
7	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000007	O
8	antea	lilaLemma:89166	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000008	O
9	dignitatis	lilaLemma:99402	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000009	O
10	suae	lilaLemma:127165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000010	O
11	splendorem	lilaLemma:125427	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000011	O
12	obtinere	lilaLemma:114504	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000012	O
13	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000013	O
14	post	lilaLemma:118572	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000014	O
15	calamitatem	lilaLemma:92293	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000015	O
16	acceptam	lilaLemma:87119	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000016	O
17	modestiae	lilaLemma:112526	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000017	O
18	fructum	lilaLemma:103880	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000018	O
19	aliquem	lilaLemma:91108	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000019	O
20	percipere	lilaLemma:116656	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000020	O
21	potuisset	lilaLemma:118569	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000021	O

# sent_id = CicSul-D-25-2
# text = sed quoniam ita tulit casus infestus ut in amplissimo honore cum communi ambitionis inuidia tum singulari Autroni odio euerteretur et in his pristinae fortunae reliquiis miseris et adflictis tamen haberet quosdam quorum animos ne supplicio quidem suo satiare posset quamquam ex huius incommodis magnam animo molestiam capio tamen in ceteris malis facile patior oblatum mihi tempus esse in quo boni uiri lenitatem meam misericordiamque notam quondam omnibus nunc quasi intermissam agnoscerent improbi ac perditi ciues domiti atque uicti praecipitante re publica uehementem me fuisse atque fortem conseruata mitem ac misericordem faterentur
1	sed	lilaLemma:123994	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000022	O
2	quoniam	lilaLemma:121289	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000023	O
3	ita	lilaLemma:109126	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000024	O
4	tulit	lilaLemma:103126	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000025	O
5	casus	lilaLemma:97835	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000026	O
6	infestus	lilaLemma:107661	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000027	O
7	ut	lilaLemma:130906	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000028	O
8	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000029	O
9	amplissimo	lilaLemma:88785	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000030	O
10	honore	lilaLemma:105647	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000031	O
11	cum	lilaLemma:97207	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000032	O
12	communi	lilaLemma:97171	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000033	O
13	ambitionis	lilaLemma:88619	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000034	O
14	inuidia	lilaLemma:108842	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000035	O
15	tum	lilaLemma:129198	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000036	O
16	singulari	lilaLemma:124888	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000037	O
17	Autroni	lilaLemma:225	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000038	B-PERS
18	odio	lilaLemma:114729	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000039	O
19	euerteretur	lilaLemma:101618	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000040	O
20	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000041	O
21	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000042	O
22	his	lilaLemma:105455	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000043	O
23	pristinae	lilaLemma:120686	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000044	O
24	fortunae	lilaLemma:103696	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000045	O
25	reliquiis	lilaLemma:76048	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000046	O
26	miseris	lilaLemma:112452	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000047	O
27	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000048	O
28	adflictis	lilaLemma:88026	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000049	O
29	tamen	lilaLemma:127607	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000050	O
30	haberet	lilaLemma:105044	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000051	O
31	quosdam	lilaLemma:121313	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000052	O
32	quorum	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000053	O
33	animos	lilaLemma:89094	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000054	O
34	ne	lilaLemma:113490	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000055	O
35	supplicio	lilaLemma:127036	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000056	O
36	quidem	lilaLemma:121168	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000057	O
37	suo	lilaLemma:127165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000058	O
38	satiare	lilaLemma:123476	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000059	O
39	posset	lilaLemma:118569	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000060	O
40	quamquam	lilaLemma:121083	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000061	O
41	ex	lilaLemma:101716	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000062	O
42	huius	lilaLemma:105455	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000063	O
43	incommodis	lilaLemma:107046	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000064	O
44	magnam	lilaLemma:111319	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000065	O
45	animo	lilaLemma:89094	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000066	O
46	molestiam	lilaLemma:112579	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000067	O
47	capio	lilaLemma:92686	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000068	O
48	tamen	lilaLemma:127607	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000069	O
49	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000070	O
50	ceteris	lilaLemma:93624	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000071	O
51	malis	lilaLemma:111419	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000072	O
52	facile	lilaIpoLemma:111576	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000073	O
53	patior	lilaLemma:116222	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000074	O
54	oblatum	lilaLemma:114795	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000075	O
55	mihi	lilaLemma:100712	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000076	O
56	tempus	lilaLemma:127522	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Sulla/Cicero_ProSulla_CicSul.BPN_t_0000077	O
