# sent_id = CicDivCa-D-05-1
# text = si quis uestrum iudices aut eorum qui adsunt forte miratur me qui tot annos in causis iudiciisque publicis ita sim uersatus ut defenderim multos laeserim neminem subito nunc mutata uoluntate ad accusandum descendere is si mei consili causam rationemque cognouerit una et id quod facio probabit et in hac causa profecto neminem praeponendum mihi esse actorem putabit
1	si	lilaLemma:124676	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000001	O
2	quis	lilaLemma:121165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000002	O
3	uestrum	lilaIpoLemma:110488	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000003	O
4	iudices	lilaLemma:109161	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000004	O
5	aut	lilaLemma:90827	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000005	O
6	eorum	lilaLemma:109083	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000006	O
7	qui	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000007	O
8	adsunt	lilaLemma:87642	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000008	O
9	forte	lilaLemma:103683	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000009	O
10	miratur	lilaLemma:112442	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000010	O
11	me	lilaLemma:100712	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000011	O
12	qui	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000012	O
13	tot	lilaLemma:128477	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000013	O
14	annos	lilaLemma:89129	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000014	O
15	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDivinatioin%20Q%20Caecilium/Cicero_DivinatioinQCaecilium_CicDivCa.BPN_t_0000015	O
