# sent_id = PlAmphi-L-01-1
# text = ut uos in uostris uoltis mercimoniis emundis uendundisque me laetum lucris adficere atque adiuuare in rebus omnibus et ut res rationesque uostrorum omnium bene expedire uoltis peregrique et domi bonoque atque amplo auctare perpetuo lucro quasque incepistis res quasque inceptabitis et uti bonis uos uostrosque omnis nuntiis me adficere uoltis ea adferam ea ut nuntiem quae maxume in rem uostram communem sient nam uos quidem id iam scitis concessum et datum mi esse ab dis aliis nuntiis praesim et lucro haec ut me uoltis adprobare adnitier lucrum ut perenne uobis semper suppetat ita huic facietis fabulae silentium itaque aequi et iusti hic eritis omnes arbitri
1	ut	lilaLemma:130905	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000001	O
2	uos	lilaIpoLemma:110488	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000002	O
3	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000003	O
4	uostris	lilaLemma:130009	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000004	O
5	uoltis	lilaLemma:130745	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000005	O
6	mercimoniis	lilaLemma:112101	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000006	O
7	emundis	lilaLemma:100998	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000007	O
8-9	uendundisque	_	_	_
8	uendundis	lilaLemma:129757	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000008	O
9	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000009	O
10	me	lilaLemma:100712	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000010	O
11	laetum	lilaLemma:109739	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000011	O
12	lucris	lilaLemma:110889	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000012	O
13	adficere	lilaLemma:88003	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000013	O
14	atque	lilaLemma:90490	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000014	O
15	adiuuare	lilaLemma:87510	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000015	O
16	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000016	O
17	rebus	lilaLemma:121868	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000017	O
18	omnibus	lilaLemma:114954	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000018	O
19	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000019	O
20	ut	lilaLemma:130905	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000020	O
21	res	lilaLemma:121868	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000021	O
22-23	rationesque	_	_	_
22	rationes	lilaLemma:121458	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000022	O
23	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000023	O
24	uostrorum	lilaIpoLemma:110488	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000024	O
25	omnium	lilaLemma:114954	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000025	O
26	bene	lilaLemma:91473	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000026	O
27	expedire	lilaLemma:102147	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000027	O
28	uoltis	lilaLemma:130745	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000028	O
29-30	peregrique	_	_	_
29	peregri	lilaIpoLemma:113063	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000029	O
30	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000030	O
31	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000031	O
32	domi	lilaLemma:100070	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000032	O
33-34	bonoque	_	_	_
33	bono	lilaLemma:91782	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000033	O
34	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0000034	O
