# sent_id = SenTroad-P-16-1
# text = quicumque regno fidit et magna potens dominatur aula nec leues metuit deos animumque rebus credulum laetis dedit me uideat et te Troia non umquam tulit documenta fors maiora quam fragili loco starent superbi
1	quicumque	lilaLemma:121318	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000001	O
2	regno	lilaLemma:121683	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000002	O
3	fidit	lilaLemma:103269	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000003	O
4	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000004	O
5	magna	lilaLemma:111319	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000005	O
6	potens	lilaIpoLemma:110681	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000006	O
7	dominatur	lilaLemma:100058	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000007	O
8	aula	lilaLemma:90903	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000008	O
9	nec	lilaLemma:113512	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000009	O
10	leues	lilaLemma:110327	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000010	O
11	metuit	lilaLemma:112260	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000011	O
12	deos	lilaLemma:99132	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000012	O
13-14	animumque	_	_	_
13	animum	lilaLemma:89094	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000013	O
14	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000014	O
15	rebus	lilaLemma:121868	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000015	O
16	credulum	lilaLemma:96884	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000016	O
17	laetis	lilaLemma:109739	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000017	O
18	dedit	lilaLemma:99970	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000018	O
19	me	lilaLemma:100712	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000019	O
20	uideat	lilaLemma:130163	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000020	O
21	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000021	O
22	te	lilaLemma:129131	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000022	O
23	Troia	lilaLemma:24131	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000023	O
24	non	lilaLemma:114108	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000024	O
25	umquam	lilaLemma:130569	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000025	O
26	tulit	lilaLemma:103126	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000026	O
27	documenta	lilaLemma:99993	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000027	O
28	fors	lilaLemma:103682	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000028	O
29	maiora	lilaLemma:111319	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000029	O
30	quam	lilaIpoLemma:110471	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000030	O
31	fragili	lilaLemma:103729	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000031	O
32	loco	lilaLemma:110019	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000032	O
33	starent	lilaLemma:124554	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000033	O
34	superbi	lilaLemma:126757	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000034	O

# sent_id = SenTroad-P-16-2
# text = columen euersum occidit pollentis Asiae caelitum egregius labor ad cuius arma uenit et qui frigidum septena Tanain ora pandentem bibit et quae uagos uicina prospiciens Scythas ripam cateruis Ponticam uiduis ferit et qui renatum primus excipiens diem tepidum rubenti Tigrin inmiscet freto excisa ferro est Pergamum incubuit sibi
1	columen	lilaLemma:94980	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000035	O
2	euersum	lilaLemma:101618	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000036	O
3	occidit	lilaLemma:114586	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000037	O
4	pollentis	lilaIpoLemma:33835	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000038	O
5	Asiae	lilaLemma:25197	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000039	O
6	caelitum	lilaLemma:1900	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000040	O
7	egregius	lilaLemma:100716	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000041	O
8	labor	lilaLemma:109621	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000042	O
9	ad	lilaLemma:87344	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000043	O
10	cuius	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000044	O
11	arma	lilaLemma:89998	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000045	O
12	uenit	lilaLemma:129790	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000046	O
13	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000047	O
14	qui	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000048	O
15	frigidum	lilaLemma:103032	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000049	O
16	septena	lilaLemma:139953	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000050	O
17	Tanain	lilaLemma:22803	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000051	B-LOC
18	ora	lilaLemma:115327	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000052	O
19	pandentem	lilaLemma:115814	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000053	O
20	bibit	lilaLemma:91532	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000054	O
21	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000055	O
22	quae	lilaLemma:121354	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000056	O
23	uagos	lilaLemma:129502	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000057	O
24	uicina	lilaLemma:130137	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000058	O
25	prospiciens	lilaLemma:120100	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaTroades/Seneca_Troades_SenTroad.BPN_t_0000059	O
