# sent_id = CicRedS-D-28-1
# text = si patres conscripti pro uestris immortalibus in me fratremque meum liberosque nostros meritis parum uobis cumulate gratias egero quaeso obtestorque ne meae naturae potius quam magnitudini uestrorum beneficiorum id tribuendum putetis
1	si	lilaLemma:124676	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000001	O
2	patres	lilaLemma:116203	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000002	O
3	conscripti	lilaLemma:95999	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000003	O
4	pro	lilaLemma:118468	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000004	O
5	uestris	lilaLemma:130009	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000005	O
6	immortalibus	lilaLemma:106439	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000006	O
7	in	lilaLemma:106748	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000007	O
8	me	lilaLemma:100712	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000008	O
9-10	fratremque	_	_	_
9	fratrem	lilaLemma:103739	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000009	O
10	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000010	O
11	meum	lilaLemma:112262	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000011	O
12-13	liberosque	_	_	_
12	liberos	lilaLemma:109917	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000012	O
13	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000013	O
14	nostros	lilaLemma:113882	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000014	O
15	meritis	lilaLemma:112092	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000015	O
16	parum	lilaLemma:116130	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000016	O
17	uobis	lilaIpoLemma:110488	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000017	O
18	cumulate	lilaIpoLemma:113115	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000018	O
19	gratias	lilaLemma:104869	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000019	O
20	egero	lilaLemma:88140	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPost%20Reditum%20In%20Senatu/Cicero_PostReditumInSenatu_CicRedS.BPN_t_0000020	O
