# sent_id = CicCael-D-34-1
# text = si quis iudices forte nunc adsit ignarus legum iudiciorum consuetudinisque nostrae miretur profecto quae sit tanta atrocitas huiusce causae quod diebus festis ludisque publicis omnibus forensibus negotiis intermissis unum hoc iudicium exerceatur nec dubitet quin tanti facinoris reus arguatur ut eo neglecto ciuitas stare non possit
1	si	lilaLemma:124676	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000001	O
2	quis	lilaLemma:121165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000002	O
3	iudices	lilaLemma:109161	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000003	O
4	forte	lilaLemma:103683	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000004	O
5	nunc	lilaLemma:113990	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000005	O
6	adsit	lilaLemma:87642	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000006	O
7	ignarus	lilaLemma:106129	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000007	O
8	legum	lilaLemma:110351	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000008	O
9	iudiciorum	lilaLemma:109170	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000009	O
10-11	consuetudinisque	_	_	_
10	consuetudinis	lilaLemma:96179	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000010	O
11	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000011	O
12	nostrae	lilaLemma:113882	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000012	O
13	miretur	lilaLemma:112442	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000013	O
14	profecto	lilaIpoLemma:35610	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000014	O
15	quae	lilaLemma:121165	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000015	O
16	sit	lilaLemma:126689	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000016	O
17	tanta	lilaLemma:127630	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000017	O
18	atrocitas	lilaLemma:90511	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000018	O
19	huiusce	lilaLemma:105455	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000019	O
20	causae	lilaLemma:93253	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000020	O
21	quod	lilaLemma:74854	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000021	O
22	diebus	lilaLemma:99334	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000022	O
23	festis	lilaLemma:103198	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000023	O
24-25	ludisque	_	_	_
24	ludis	lilaLemma:110940	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000024	O
25	que	lilaLemma:131416	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000025	O
26	publicis	lilaLemma:120358	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000026	O
27	omnibus	lilaLemma:114954	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000027	O
28	forensibus	lilaLemma:103174	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000028	O
29	negotiis	lilaLemma:113566	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000029	O
30	intermissis	lilaLemma:108540	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000030	O
31	unum	lilaLemma:85636	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000031	O
32	hoc	lilaLemma:105455	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000032	O
33	iudicium	lilaLemma:109170	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000033	O
34	exerceatur	lilaLemma:101981	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000034	O
35	nec	lilaLemma:113512	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000035	O
36	dubitet	lilaLemma:100176	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroPro%20Caelio/Cicero_ProCaelio_CicCael.BPN_t_0000036	O
